12.01,12.17,"11.35 - 12.19","-0.16 - -1.37%",N/A,56568000,N/A
78.76,84.37,"83.61 - 86.20","+5.05 - +6.41%",N/A,19276700,N/A
157.41,159.29,"158.70 - 163.60","+5.64 - +3.58%",N/A,27711800,N/A
27.80,28.26,"27.28 - 28.53","+0.09 - +0.32%",N/A,4338540,N/A
1.67,1.67,"1.54 - 1.68","-0.10 - -5.99%",N/A,25988200,N/A
15.05,14.89,"14.64 - 15.57","+0.17 - +1.13%",N/A,11383900,N/A
2.86,2.63,"2.29 - 2.78","-0.49 - -17.13%",N/A,7070060,N/A
